Distance,Width,Index of Difficulty =LOG(2*A/W),Index of Difficulty =LOG(A/W+1),Ballistic Index,Power Index,A/W,Mean:,Std. Dev.:
67,20,2.744161096,2.121015401,1.830300522,6.7,3.35,662.2125749,137.8955072
184,38,3.275634443,2.546488353,2.200478417,9.684210526,4.842105263,637.9401198,125.4143499
280,14,5.321928095,4.392317423,4.472135955,40,20,953.0928144,230.4930355
230,29,3.987509056,3.158827293,2.81620924,15.86206897,7.931034483,717.8802395,133.6854271
144,55,2.388565288,1.855264907,1.61807967,5.236363636,2.618181818,537.9790419,108.2985925
249,29,4.102020937,3.260960078,2.930223011,17.17241379,8.586206897,758.3443114,173.5638402
255,14,5.186998515,4.26410744,4.267819785,36.42857143,18.21428571,891.8443114,172.8571413
96,50,1.941106311,1.545968369,1.385640646,3.84,1.92,514.742515,108.0598191
225,19,4.565853678,3.682809824,3.441236008,23.68421053,11.84210526,838.3263473,209.6404288
263,12,5.453956489,4.518325308,4.681523968,43.83333333,21.91666667,984.5149701,229.70937
259,25,4.372952098,3.50589093,3.218695388,20.72,10.36,814.7335329,200.6069865
229,20,4.517275693,3.638073837,3.383784863,22.9,11.45,815.1017964,165.1321296
215,31,3.793996539,2.988318195,2.633530685,13.87096774,6.935483871,694.3712575,138.301559
198,83,2.254317189,1.759386889,1.544520045,4.771084337,2.385542169,534.0958084,120.5946843
301,16,5.233619677,4.30833903,4.337337893,37.625,18.8125,916.4760479,180.6611424
194,66,2.555518723,1.977973694,1.71446608,5.878787879,2.939393939,560.5479042,106.3954143
260,12,5.437405312,4.502500341,4.654746681,43.33333333,21.66666667,958.5808383,205.7191832
296,14,5.402098444,4.468769483,4.598136268,42.28571429,21.14285714,980.2155689,257.3172898
180,44,3.032421478,2.347923303,2.022599587,8.181818182,4.090909091,633.0628743,126.071214
278,11,5.659509454,4.715494064,5.02719875,50.54545455,25.27272727,977.9371257,210.2613823
283,37,3.935204877,3.112474729,2.765619035,15.2972973,7.648648649,733.0179641,141.1438673
40,32,1.321928095,1.169925001,1.118033989,2.5,1.25,539.8143713,114.5626295
233,10,5.54225805,4.602884409,4.827007354,46.6,23.3,1013.272455,280.2212565
191,50,2.933572638,2.269033146,1.954482029,7.64,3.82,623.7904192,127.3136314
179,18,4.313890776,3.452126818,3.153481321,19.88888889,9.944444444,765.7694611,153.5208533